keen.timestamp,keen.created_at,keen.id,Category,CategoryExpanded,CategoryWhere,Collections,Copyright,Dimensions,Filename,Format,MediaIrn,Object,ObjectIrn,Size,TransactionID
2014-11-05T07:57:33.311Z,2014-11-05T07:57:33.311Z,5459d86d80a7bd13dbbcdecc,Personal,,,Photography,No known copyright restrictions,5992 x 4634,MA_I209541.5992x4634.jpg,JPEG,207887,View of Chief Taipari’s House &amp; Grounds. From the album: Views of the Thames Gold Fields; American Photographic Company,830330,5.58 MB,7189-db0a-00fb-cfcd-f7bb
2014-11-05T08:00:36.898Z,2014-11-05T08:00:36.898Z,5459d9243831440a0c2b196a,not-selected,,,Photography,No known copyright restrictions,6067 x 4624,MA_I209540.6067x4624.jpg,JPEG,207886,View of the Hape Creek &amp; Ranges. From the album: Views of the Thames Gold Fields; American Photographic Company,830328,5.45 MB,af60-4543-de04-bae2-7654
2014-11-05T08:03:34.976Z,2014-11-05T08:03:34.976Z,5459d9d680a7bd13a00e2c6e,not-selected,,,Photography,No known copyright restrictions,5982 x 4659,MA_I209543.5982x4659.jpg,JPEG,207889,View of Shortland from Chief Taipari’s Grounds. From the album: Views of the Thames Gold Fields; American Photographic Company,830333,6.30 MB,aa98-a092-2c22-1d16-5967
2014-11-05T08:06:03.590Z,2014-11-05T08:06:03.590Z,5459da6bbcb79c3a6bee1665,not-selected,,,Photography,No known copyright restrictions,6192 x 4766,MA_I226079.6192x4766.jpg,JPEG,224634,View of Shortland from the Hape Ranges. From the album: Views of the Thames Gold Fields; American Photographic Company,830331,5.57 MB,cffc-7b0c-58af-ee51-891a
2014-11-05T08:08:00.983Z,2014-11-05T08:08:00.983Z,5459dae036bca47fa5c5cf8c,not-selected,,,Photography,No known copyright restrictions,6038 x 4804,MA_I209547.6038x4804.jpg,JPEG,207893,General view from the Long Drive of Grahamstown and Shortland. From the album: Views of the Thames Gold Fields; American Photographic Company,830337,6.11 MB,01d3-0b03-2623-d7ff-d961
2014-11-05T09:06:41.252Z,2014-11-05T09:06:41.252Z,5459e8a1c9e16303f665549f,Other,,,Art,No known copyright restrictions,3816 x 4853,MA_I267499.3816x4853.jpg,JPEG,266518,Portrait of a young man,44488,4.95 MB,c30e-863e-ec84-3b45-de1a
2014-11-05T09:26:10.604Z,2014-11-05T09:26:10.604Z,5459ed32c9e1630409bb36c2,Other,,,Art,No known copyright restrictions,1862 x 2400,MA_I062888.jpg,JPEG,59917,Faith,41610,2.07 MB,b3f3-dc39-7afe-12b0-d54a
2014-11-05T09:28:58.635Z,2014-11-05T09:28:58.635Z,5459eddae875961917e332e0,Other,,,Art,No known copyright restrictions,4650 x 3522,MA_I120507.jpg,JPEG,115241,The dance in the inn,38544,23.35 MB,078a-1ca3-fd57-afed-95f1
2014-11-05T09:31:55.865Z,2014-11-05T09:31:55.865Z,5459ee8b33e4061f0ec89591,Other,,,Art,No known copyright restrictions,4962 x 3486,MA_I120533.jpg,JPEG,115245,The story of Adonis. Plate 5. The death of Adonis.,40083,22.48 MB,49d7-03c1-847d-6037-35b6
2014-11-05T09:34:26.908Z,2014-11-05T09:34:26.908Z,5459ef2236bca47f7d143fe6,Other,,,Art,No known copyright restrictions,3714 x 4374,MA_I120853.jpg,JPEG,115610,Girl at her toilet,41085,15.70 MB,8d3d-bb71-bb98-53a5-3224
